changed_feature,status,commit_hash,,comment,,persistdataintohost,sharing between component,sharing host data with container,unkown
volumes,values_changed,1efa43ca8b472254e2c03d23546b1094782e559b,https://github.com/search?q=1efa43ca8b472254e2c03d23546b1094782e559b&type=Commits,removed volume,,,,,
image,values_changed,eb23197f6f24e42cbdbebd8c02200c7b0e03ecf9,https://github.com/search?q=eb23197f6f24e42cbdbebd8c02200c7b0e03ecf9&type=Commits,image version changed,,,,,
image,values_changed,3584db9efb2d2e3d5a9e190a78434fef0a91204b,https://github.com/search?q=3584db9efb2d2e3d5a9e190a78434fef0a91204b&type=Commits,image version upgraded,,,,,
image,values_changed,73617af1791944fd096bfd0cf3c1c96764e7fd1e,https://github.com/search?q=73617af1791944fd096bfd0cf3c1c96764e7fd1e&type=Commits,image version upgraded,,,,,
volumes,iterable_item_added,4ccea9419b1995d07eab850a76551183a30bcd12,https://github.com/search?q=4ccea9419b1995d07eab850a76551183a30bcd12&type=Commits,new volume added,,,,,1
volumes,iterable_item_added,72082c7776955aaeedaa909dbb230682ea267133,https://github.com/search?q=72082c7776955aaeedaa909dbb230682ea267133&type=Commits,new volume added,,,,,1
image,values_changed,11c698e47a29c3565cf4baafb7d4d9ee5330e4b1,https://github.com/search?q=11c698e47a29c3565cf4baafb7d4d9ee5330e4b1&type=Commits,image version upgraded,,,,,
volumes,iterable_item_removed,de0403052718c1fbc7cfa0c9a6b17eaabc818c58,https://github.com/search?q=de0403052718c1fbc7cfa0c9a6b17eaabc818c58&type=Commits,refactored and removed multiple volumes to replace them by one,,,,,
image,values_changed,85777eef53c84fafaadb1d14af78aff30218c595,https://github.com/search?q=85777eef53c84fafaadb1d14af78aff30218c595&type=Commits,image changed,,,,,
volumes,values_changed,974a7517a64bb32b5c31c3b210aafa376f9275f7,https://github.com/search?q=974a7517a64bb32b5c31c3b210aafa376f9275f7&type=Commits,volumes changed,,,,,
image,values_changed,40ae81493a83f163cb965aa31129ed807b5f431e,https://github.com/search?q=40ae81493a83f163cb965aa31129ed807b5f431e&type=Commits,image version updated,,,,,
volumes,values_changed,290b960e59aff686cdc0744d05c8323b999c8604,https://github.com/search?q=290b960e59aff686cdc0744d05c8323b999c8604&type=Commits,volume changed,,,,,
volumes,iterable_item_added,179de48c1923f69857c517f6d5d04f73cbb84130,https://github.com/search?q=179de48c1923f69857c517f6d5d04f73cbb84130&type=Commits,new volume added,,,,,1
volumes,dictionary_item_added,42c7148d7b10701268895ae6ce0ca2429bdbb02f,https://github.com/search?q=42c7148d7b10701268895ae6ce0ca2429bdbb02f&type=Commits,new volume added to service,,,,,1
image,values_changed,33f79397573efe26b34c7a751bd783dd83505a50,https://github.com/search?q=33f79397573efe26b34c7a751bd783dd83505a50&type=Commits,image tag added,,,,,
volumes,values_changed,5a5e60489a8f8d56a176e44128b60226754f7efe,https://github.com/search?q=5a5e60489a8f8d56a176e44128b60226754f7efe&type=Commits,host volume path changed,,,,,
volumes,values_changed,57e3dea189cf8a49a902ef0bec351fa0df1f54da,https://github.com/search?q=57e3dea189cf8a49a902ef0bec351fa0df1f54da&type=Commits,container file path changed,,,,,
image,values_changed,9920058ef0e6417ca5a9ed99e6f3187330060e44,https://github.com/search?q=9920058ef0e6417ca5a9ed99e6f3187330060e44&type=Commits,image version changed,,,,,
image,values_changed,473b2c4b6ae0a6ad7e7bbedfe20b16d78dcefab6,https://github.com/search?q=473b2c4b6ae0a6ad7e7bbedfe20b16d78dcefab6&type=Commits,used specific version of image from latest tag,,,,,
volumes,dictionary_item_added,fb7a81ad74d9c411c3675876f92b20e9ab454ee6,https://github.com/search?q=fb7a81ad74d9c411c3675876f92b20e9ab454ee6&type=Commits,share the host file with container,,,,1,
volumes,values_changed,4422f1f38bb1ed9c0c6c423f6cb0b7d356c3ff64,https://github.com/search?q=4422f1f38bb1ed9c0c6c423f6cb0b7d356c3ff64&type=Commits,z flag removed from volume mapping,,,,,
